Date,Description,Category,Amount
2024-01-02,Salary,Income,4200.00
2024-01-03,Whole Foods,Groceries,-96.42
2024-01-05,Starbucks,Food & Drink,-6.75
2024-01-08,Shell Gas,Transport,-52.10
2024-01-12,Netflix,Entertainment,-15.99
2024-01-15,Rent,Housing,-1500.00
2024-01-20,Trader Joe's,Groceries,-73.18
2024-01-25,Electric Bill,Utilities,-88.30
2024-02-01,Salary,Income,4200.00
2024-02-03,Costco,Groceries,-184.55
2024-02-07,Uber,Transport,-23.40
2024-02-10,Chipotle,Food & Drink,-12.85
2024-02-14,Flowers,Gifts,-45.00
2024-02-15,Rent,Housing,-1500.00
2024-02-18,Spotify,Entertainment,-10.99
2024-02-22,Internet,Utilities,-65.00
2024-03-01,Salary,Income,4200.00
2024-03-04,Whole Foods,Groceries,-112.30
2024-03-09,Movie Tickets,Entertainment,-28.00
2024-03-11,Gas,Transport,-48.75
2024-03-15,Rent,Housing,-1500.00
2024-03-19,Doctor Visit,Health,-120.00
2024-03-24,Electric Bill,Utilities,-91.10
2024-03-28,Freelance Payment,Income,650.00
